fly_id,bin_start,genotype,sex,treatment,MT_sum,Pn_var,bin_index,state,state_label
M13_09_25_25_Ch27,2025-09-27 07:20:00,SSS,Male,VEH,0.0,0.0,268,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:25:00,SSS,Male,VEH,0.0,0.0,269,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:30:00,SSS,Male,VEH,0.0,0.0,270,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:35:00,SSS,Male,VEH,0.0,0.0,271,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:40:00,SSS,Male,VEH,0.0,0.0,272,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:45:00,SSS,Male,VEH,0.0,0.0,273,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:50:00,SSS,Male,VEH,0.0,0.0,274,1,Declining
M13_09_25_25_Ch27,2025-09-27 07:55:00,SSS,Male,VEH,0.0,0.0,275,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:00:00,SSS,Male,VEH,0.0,0.0,276,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:05:00,SSS,Male,VEH,0.0,0.0,277,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:10:00,SSS,Male,VEH,0.0,0.0,278,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:15:00,SSS,Male,VEH,0.0,0.0,279,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:20:00,SSS,Male,VEH,0.0,0.0,280,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:25:00,SSS,Male,VEH,0.0,0.0,281,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:30:00,SSS,Male,VEH,0.0,0.0,282,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:35:00,SSS,Male,VEH,0.0,0.0,283,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:40:00,SSS,Male,VEH,0.0,0.0,284,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:45:00,SSS,Male,VEH,0.0,0.0,285,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:50:00,SSS,Male,VEH,0.0,0.0,286,1,Declining
M13_09_25_25_Ch27,2025-09-27 08:55:00,SSS,Male,VEH,0.0,0.0,287,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:00:00,SSS,Male,VEH,0.0,0.0,288,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:05:00,SSS,Male,VEH,0.0,0.0,289,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:10:00,SSS,Male,VEH,0.0,0.0,290,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:15:00,SSS,Male,VEH,0.0,0.0,291,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:20:00,SSS,Male,VEH,0.0,0.0,292,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:25:00,SSS,Male,VEH,0.0,0.0,293,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:30:00,SSS,Male,VEH,0.0,0.0,294,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:35:00,SSS,Male,VEH,0.0,0.0,295,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:40:00,SSS,Male,VEH,0.0,0.0,296,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:45:00,SSS,Male,VEH,0.0,0.0,297,2,Critical
M13_09_25_25_Ch27,2025-09-27 09:50:00,SSS,Male,VEH,0.0,0.0,298,1,Declining
M13_09_25_25_Ch27,2025-09-27 09:55:00,SSS,Male,VEH,0.0,0.0,299,1,Declining
M13_09_25_25_Ch27,2025-09-27 10:00:00,SSS,Male,VEH,0.0,0.0,300,1,Declining
M13_09_25_25_Ch27,2025-09-27 10:05:00,SSS,Male,VEH,0.0,0.0,301,1,Declining
M13_09_25_25_Ch27,2025-09-27 10:10:00,SSS,Male,VEH,0.0,0.0,302,1,Declining
M13_09_25_25_Ch27,2025-09-27 10:15:00,SSS,Male,VEH,0.0,0.0,303,1,Declining
M13_09_25_25_Ch27,2025-09-27 10:20:00,SSS,Male,VEH,0.0,0.0,304,1,Declining
M13_09_25_25_Ch27,2025-09-27 10:25:00,SSS,Male,VEH,0.0,0.0,305,1,Declining
M13_09_25_25_Ch27,2025-09-27 10:30:00,SSS,Male,VEH,0.0,0.0,306,0,Healthy
M13_09_25_25_Ch27,2025-09-27 10:35:00,SSS,Male,VEH,0.0,0.0,307,0,Healthy
M13_09_25_25_Ch27,2025-09-27 10:40:00,SSS,Male,VEH,0.0,0.0,308,0,Healthy
M13_09_25_25_Ch27,2025-09-27 10:45:00,SSS,Male,VEH,0.0,0.0,309,0,Healthy
M13_09_25_25_Ch27,2025-09-27 10:50:00,SSS,Male,VEH,0.0,0.0,310,0,Healthy
M13_09_25_25_Ch27,2025-09-27 10:55:00,SSS,Male,VEH,0.0,0.0,311,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:00:00,SSS,Male,VEH,0.0,0.0,312,0,Healthy
M13_09_25_25_Ch27,2025-09-27 11:05:00,SSS,Male,VEH,0.0,0.0,313,0,Healthy
